PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
039sR,6k1/p2q2pp/8/4p3/3b2P1/2pQN2P/P1P2P2/6K1 w - - 0 30,e3f5 d4f2 g1f2 d7d3 c2d3 c3c2,1042,87,94,391,advancedPawn crushing discoveredAttack endgame long master sacrifice,https://lichess.org/rLEebE7j#59,
04ACF,r4rk1/ppbb2pp/2p1p3/2Pp4/3PpR2/2N1P3/PPQ1B1PP/R1B1q1K1 w - - 4 16,f4f1 f8f1 e2f1 a8f8 c2e2 f8f1 e2f1 c7h2 g1h2 e1f1,2246,77,96,613,clearance crushing deflection kingsideAttack middlegame veryLong,https://lichess.org/rwaHUr9v#31,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
04YBe,r2q1rk1/pb2pp1p/6p1/2n5/3bPP2/2N5/1P2B1PP/R1BQ1R1K b - - 4 18,c5e4 c3e4 b7e4 a1a4,2101,75,93,11421,advantage opening short,https://lichess.org/OkqHrLxJ/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
071ju,r2qkbnr/1pp3pp/p1n5/3pp3/5B2/1QP1PP2/PP3P1P/RN2KB1R w KQkq - 0 9,b3b7 c6a5 b7a8 d8a8,1715,76,95,22897,advantage opening short trappedPiece,https://lichess.org/cQ9hG6bd#17,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
01DXj,8/pR6/8/P7/2Pb1rk1/1P1K4/8/8 b - - 0 39,d4g1 b7g7 g4f5 g7g1,825,80,96,183,advantage endgame master short skewer,https://lichess.org/kyzVQnHB/black#78,
02T7b,8/2k5/1b1p1p2/p1PQ1P2/1p1PP3/1P5q/6R1/5R1K w - - 8 39,g2h2 h3f1,833,79,99,1131,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/jZFA17Eq#77,
08RJX,8/6bk/6p1/7p/2Q3P1/P5nP/1r6/6K1 w - - 1 46,g4h5 g7d4 c4d4 g3e2 g1f1 e2d4,1807,74,95,14923,attraction crushing endgame exposedKing fork long master sacrifice,https://lichess.org/r35owteJ#91,
09EPx,r1b1kb1r/ppQp1pp1/4q2p/3Nn3/4P3/8/PPP2PPP/R3KBNR w KQkq - 2 10,f1c4 f8d6 c4e2 e6d5 c7c8 a8c8 e4d5 c8c2,2461,80,91,3037,advantage opening veryLong,https://lichess.org/jdfKVEt1#19,Center_Game Center_Game_Hall_Variation
062D9,2r3k1/6pp/5p2/ppNnp3/1q1P4/1P1QP2P/5PP1/2R3K1 w - - 0 29,d4e5 c8c5 c1c5 b4c5,1142,74,94,5735,advantage endgame short,https://lichess.org/z9P2ErBG#57,
0Se92,r4r2/pp2qpkp/1np2np1/4p3/4P2P/2N1QB2/PPP2PP1/2KR3R w - - 3 15,g2g4 b6c4 e3e1 e7b4 c3a4 b4a4,1484,74,94,22064,advantage long middlegame,https://lichess.org/aGptsROP#29,Modern_Defense Modern_Defense_Other_variations
051Lk,1r6/2R2k1p/1p2rnp1/3p1pq1/PN1Pp3/6P1/6B1/4QK1R b - - 1 40,e6e7 c7e7 f7e7 b4c6,1253,76,91,2724,advantage attraction middlegame short,https://lichess.org/GDngXDwX/black#80,
03sFl,r1b2rk1/1p3ppp/p3p3/3p4/3Q4/3B4/PPq2PPP/1R3RK1 b - - 1 16,c2d2 d3h7 g8h7 d4d2,967,93,93,1620,advantage discoveredAttack middlegame short,https://lichess.org/r4IFexvd/black#32,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
0RCDM,r1bb1rk1/1p1n1ppp/p2N4/3nP3/5P2/2qBB3/P5PP/2RQ1RK1 b - - 2 17,d5e3 d3h7 g8h7 d1h5 h7g8 c1c3,1920,76,96,1412,advantage attraction kingsideAttack long middlegame sacrifice,https://lichess.org/ThXaH0e0/black#34,Sicilian_Defense Sicilian_Defense_French_Variation
00zdb,2rqr1k1/pb3p2/1p4pp/n2p4/P1pRnN2/2P2N1P/BPQ2PP1/3R2K1 b - - 2 20,c8c5 d4e4 d5e4 d1d8,1873,75,93,2690,advantage discoveredAttack master middlegame short,https://lichess.org/kUZZ0jiG/black#40,
0OQyr,r1bk1bnr/pp1p1ppp/8/q2n4/8/2N5/PP1BQPPP/R3KBNR b KQ - 1 10,f8b4 c3d5 b4d2 e2d2,1352,77,92,3349,advantage opening short,https://lichess.org/lx7vLLKC/black#20,Sicilian_Defense Sicilian_Defense_Alapin_Variation
04Woy,r4rk1/ppp2pp1/1b1p3p/4n3/1P2P2q/P1N5/1BP1QPB1/R4RK1 w - - 5 21,c3d5 e5g4 e2g4 h4g4,1384,75,93,3210,advantage middlegame short,https://lichess.org/h2q3wKY5#41,
0Ycmf,6r1/ppk1n3/3b4/2p1p2r/2PpQ3/PP1P2Pq/1B3P1N/R5KR w - - 6 28,b3b4 g8g3 f2g3 h3g3 e4g2 g3e3 g2f2 h5g5,1490,75,89,345,crushing kingsideAttack middlegame sacrifice veryLong,https://lichess.org/8E9fIxZz#55,
0T09l,2q3r1/1p5k/p1r4P/3pBb2/3Q4/bP1P4/P1P5/1K4RR b - - 4 35,c6c2 g1g7 g8g7 h6g7,1509,75,91,651,advancedPawn advantage discoveredAttack middlegame short,https://lichess.org/L3sp7GHz/black#70,
0CtZu,5bk1/4pp1p/6p1/8/8/2Q4P/q4PP1/2B3K1 b - - 1 27,f8g7 c3c8 g7f8 c1h6 a2a1 g1h2 a1g7 h6g7,1005,87,95,2695,crushing endgame pin veryLong,https://lichess.org/mtuaYm5M/black#54,
0CX21,5rk1/4Qp2/p3p1p1/7p/P2q4/8/1P1K1P1P/R2R4 w - - 8 34,d2c2 f8c8 c2b1 d4d1,1183,75,96,5371,crushing deflection endgame short,https://lichess.org/kJrwvlfA#67,
0DVsQ,3r3k/1p4p1/p1n3Bp/2b1p3/4Q3/2P5/PP3qPP/5RK1 w - - 0 24,f1f2 d8d1 e4e1 d1e1,947,81,92,1549,endgame mate mateIn2 pin short,https://lichess.org/s6CW3Va3#47,
0Sy22,r6r/1p1bkp1p/q1n2p2/p3p3/2PN1Q2/P2P2P1/4PPBP/1R2K2R w K - 0 19,d4c6 d7c6 f4e3 c6g2,1214,80,94,3453,advantage middlegame short,https://lichess.org/w3iuHo7D#37,English_Opening English_Opening_Symmetrical_Variation
0NqSh,r1r5/4p2k/6pb/3Q4/p3Pq2/P7/KP6/7R b - - 1 31,f4d6 d5f7 h7h8 h1h6,1048,75,98,5026,deflection endgame mate mateIn2 short,https://lichess.org/WYu3KA7C/black#62,
0InPz,rnbqkb1r/pp4pp/4p3/2ppP3/4n3/3B4/PPP2PPP/RNBQK1NR w KQkq - 1 7,f2f3 d8h4 g2g3 e4g3 h2g3 h4h1,1414,75,96,23928,crushing long opening pin trappedPiece,https://lichess.org/GhOWN4ua#13,Benoni_Defense Benoni_Defense_French_Benoni
01OKt,r2q1r2/pp1k4/2p4Q/3pn3/8/2P3PP/PP1N4/2KR1R2 w - - 2 28,f1e1 e5d3 c1c2 d3e1,1052,93,64,182031,advantage fork middlegame short,https://lichess.org/0UAYPkWO#55,
01rBE,r1bqr3/ppppk1pp/1b3n2/nP2p1NP/4P3/2PP4/P4PP1/RNBQK2R b KQ - 0 11,d7d5 c1a3 e7d7 g5f7 d8e7 a3e7,1635,75,93,2545,advantage long middlegame trappedPiece,https://lichess.org/evdwQ8hm/black#22,Italian_Game Italian_Game_Two_Knights_Defense
0AXKk,8/1p3pk1/1p2b1p1/4P2p/1P2NP1P/7r/4B3/2R2K2 w - - 1 38,e4g5 h3h1 f1f2 h1c1 g5e6 f7e6,875,89,97,1193,crushing endgame long skewer,https://lichess.org/jFksVhVd#75,
09P2R,6k1/p3ppbp/1p3np1/8/3P4/1Qr1PN1P/P4PP1/2rR2K1 w - - 1 23,b3a4 b6b5 a4b5 c1d1,1973,74,94,10284,advantage deflection middlegame short,https://lichess.org/tbqYjc6Y#45,
